epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50949,0.73363,3.62211,0.75853,0.00481,0.81269,0.04151,0.03075,0.31748,3.34007,0.5854,3.636e-05,3.636e-05,3.636e-05
2,12.0517,0.68813,3.57864,0.73491,0.0061,0.93391,0.1335,0.10866,0.34016,3.24846,0.56726,8.13191e-05,8.13191e-05,8.13191e-05
3,14.943,0.6727,3.40954,0.7342,0.00768,0.97459,0.19883,0.17129,0.34886,3.21081,0.55478,0.000125733,0.000125733,0.000125733
4,18.1267,0.74768,3.12514,0.7803,0.00858,0.98008,0.21707,0.1928,0.33904,3.15757,0.54833,0.000169601,0.000169601,0.000169601
5,22.042,0.69213,2.89341,0.74882,0.00963,0.99451,0.25865,0.23181,0.36617,2.99086,0.55183,0.000212924,0.000212924,0.000212924
6,24.9628,0.68457,2.6572,0.7349,0.00945,0.99451,0.27259,0.24426,0.35872,2.87683,0.55197,0.000255702,0.000255702,0.000255702
7,29.0678,0.60184,2.44875,0.73513,0.75423,0.10119,0.28627,0.25883,0.35951,2.75017,0.55455,0.000297934,0.000297934,0.000297934
8,33.9417,0.70931,2.28304,0.8027,0.68009,0.25916,0.29928,0.27397,0.39617,2.70628,0.57092,0.000339621,0.000339621,0.000339621
9,38.8319,0.70948,2.22213,0.76566,0.47676,0.24092,0.31458,0.27548,0.44907,2.71072,0.58002,0.000380762,0.000380762,0.000380762
10,43.0931,0.71072,2.14683,0.75818,0.60608,0.09261,0.33661,0.29677,0.45578,2.665,0.58671,0.000421358,0.000421358,0.000421358
11,48.2798,0.69308,1.9689,0.73079,0.58629,0.23863,0.38766,0.3338,0.48152,2.52377,0.59761,0.000461408,0.000461408,0.000461408
12,52.7947,0.61763,1.82891,0.68366,0.70936,0.41223,0.48025,0.41321,0.49055,2.35111,0.59692,0.000500914,0.000500914,0.000500914
